angel: 	x: 
0	0
1	0.236651
2	0.36452
3	0.480504
4	0.592841
5	0.70444
6	0.816647
7	0.930166
8	1.0454
9	1.16256
10	1.2818
11	1.40319
12	1.52677
13	1.65254
14	1.78053
15	1.91072
16	2.04311
17	2.17771
18	2.31452
19	2.45355
20	2.59482
21	2.73837
22	2.88422
23	3.03243
24	3.18308
25	3.33623
26	3.49198
27	3.65043
28	3.81171
29	3.97595
30	4.14329
31	4.31392
32	4.48801
33	4.66575
34	4.84737
35	5.03309
36	5.22317
37	5.41786
38	5.61745
39	5.82223
40	6.03253
41	6.24867
42	6.471
43	6.6999
44	6.93574
45	7.17893
46	7.42988
47	7.68904
48	7.95686
49	8.2338
50	8.52037
51	8.81707
52	9.12443
53	9.44298
54	9.77329
55	10.1159
56	10.4715
57	10.8407
58	11.224
59	11.6222
60	12.0358
